U.S. Custom Ports,Coast,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Philadelphia, PA",A,"156,294","109,528","112,876","60,948","163,494","199,739","249,695","324,247","435,793","312,848","362,733","424,311","425,252","857,611","931,243","644,902"
"Ponce, PR",PR,"54,584","51,171","45,206","9,372",335,0,0,"4,322",0,0,0,0,0,0,0,0
"Port Angeles, WA",P,0,0,0,0,0,0,0,121,0,229,0,394,0,483,739,0
"Port Arthur, TX",G,0,45,"2,400",0,24,68,0,96,0,10,6,33,218,0,0,0
"Port Canaveral, FL",A,"2,267",551,25,89,552,"1,564",5,0,335,0,0,0,81,0,0,0
"Port Everglades, FL",A,"1,953,595","1,829,266","1,612,042","1,730,708","1,909,353","2,220,907","2,435,240","2,647,375","2,808,603","2,367,737","2,491,474","2,707,766","2,801,526","2,792,327","2,945,851","2,830,632"
"Port Hueneme, CA",P,751,"2,464","1,933","1,943","4,330","19,769","17,379","17,379","32,141","24,286","49,561","37,276","45,794","35,087","52,165","76,092"
"Port Manatee, FL",G,0,0,0,3,"9,543","4,090","2,314","4,279","5,500","22,335","26,891","31,748","31,598","36,964","23,672","37,066"
"Port Townsend, WA",P,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,346
"Portland, ME",A,"22,671","12,244","8,131","4,820","7,269","17,144","5,562","4,823",0,0,0,"2,173",645,0,0,0
"Portland, OR",P,"1,943,614","1,798,873","1,501,402","1,594,141","1,528,251","740,674","913,099","1,222,946","1,171,848","1,028,009","725,547","949,798","1,063,474","842,136","686,323","95,860"
"Portsmouth, NH",A,0,0,0,0,0,0,0,"1,035",0,0,0,0,0,0,0,0
"San Diego, CA",P,3,0,"4,783","55,375","41,097","22,690","8,344","10,697","13,395","10,004","8,999","12,190","10,999","11,560","12,216","23,402"
"San Francisco, CA",P,"127,869","71,205","55,787","77,262","67,641","1,381",36,268,"3,107",0,9,0,"2,873",0,"17,112","1,802"
"San Juan, PR",PR,"347,198","338,537","326,835","302,331","345,118","395,958","444,958","423,211","526,088","594,891","643,232","361,280","151,111","214,342","216,082","173,362"
"Savannah, GA",A,"3,441,401","3,964,608","4,571,984","5,378,405","6,357,369","7,152,327","7,434,799","10,015,641","10,546,793","10,341,911","11,543,625","12,360,296","12,356,824","12,592,294","12,971,115","12,563,691"
"Seattle, WA",P,"4,067,816","3,545,243","3,594,020","3,436,547","3,874,580","5,066,109","4,595,184","5,712,126","4,827,492","5,211,891","6,198,549","6,809,693","5,966,526","5,420,961","4,300,770","4,008,801"
"Tacoma, WA",P,"2,693,935","2,695,774","2,988,656","3,710,842","3,779,814","4,023,750","3,963,735","4,958,660","5,534,214","4,780,602","3,961,095","4,285,559","5,114,717","6,063,964","6,122,119","5,785,555"
"Tampa, FL",G,"35,330","27,167","21,392","27,424","43,517","47,433","48,573","77,128","108,530","177,714","88,499","91,994","114,089","117,365","149,434","116,102"
"Vancouver, WA",P,57,176,0,0,647,860,705,679,339,943,"10,174","4,679","1,754","3,188","6,748","13,462"
"West Palm Beach, FL",A,"827,807","729,799","849,238","829,718","931,812","936,381","927,881","847,963","823,120","697,558","694,621","658,853","758,807","983,160","972,919","1,014,976"
"Wilmington, DE",A,"172,166","154,523","149,349","135,557","146,979","177,487","174,203","206,777","270,431","169,019","136,668","136,090","248,116","201,940","176,719","200,084"
"Wilmington, NC",A,"297,327","296,311","276,286","298,662","297,295","357,455","509,389","708,859","655,579","935,677","930,253","1,071,579","942,059","1,189,734","1,249,213","1,106,042"
