U.S. Custom Ports,Coast,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Port Manatee, FL",G,0,0,0,1,"1,370","1,029",386,832,877,"2,651","3,276","3,809","3,570","4,195","3,135","7,452"
"Portland, ME",A,"2,317",917,852,708,907,"1,904",634,437,0,0,0,183,57,0,0,0
"Portland, OR",P,"173,455","159,753","138,438","146,873","139,248","61,527","76,476","102,632","101,722","86,438","61,445","79,833","89,639","71,283","56,871","7,704"
"Portsmouth, NH",A,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0
"San Diego, CA",P,2,0,770,"9,237","4,728","2,794","1,192","1,462","1,956","1,315","1,409","2,210","1,768","2,215","2,418","2,907"
"San Francisco, CA",P,"12,061","7,069","5,588","7,225","6,119",70,3,19,408,0,1,0,218,0,"1,611",218
"San Juan, PR",PR,"45,850","42,229","41,584","38,781","44,265","48,591","55,726","49,756","57,501","60,047","65,042","35,972","14,964","22,342","21,267","18,296"
"Savannah, GA",A,"338,161","382,178","452,615","529,358","625,209","686,024","718,647","970,100","1,032,267","1,001,266","1,115,150","1,212,298","1,212,020","1,217,651","1,251,902","1,211,913"
"Seattle, WA",P,"371,464","324,808","338,334","328,798","368,324","467,593","421,738","505,335","425,136","450,683","528,809","591,127","513,827","454,134","357,450","336,384"
"Tacoma, WA",P,"255,526","255,508","277,981","337,250","339,451","365,715","355,049","424,784","475,755","413,450","339,797","365,811","442,634","530,147","518,794","505,413"
"Tampa, FL",G,"4,216","3,384","2,486","3,292","4,797","5,308","5,347","7,819","11,480","19,690","8,041","8,256","10,280","10,445","13,670","10,352"
"Vancouver, WA",P,7,28,0,0,37,96,66,60,52,53,769,352,159,235,462,916
"West Palm Beach, FL",A,"103,958","92,148","109,036","106,037","118,414","119,231","115,959","105,642","99,989","83,885","86,641","81,326","91,386","123,619","125,602","134,164"
"Wilmington, DE",A,"25,666","24,767","26,520","28,910","28,484","36,882","43,862","43,839","48,797","34,531","23,961","21,062","33,830","26,991","24,250","29,618"
"Wilmington, NC",A,"30,211","29,645","25,818","28,255","28,839","33,409","47,666","65,523","59,154","88,132","91,295","108,337","91,577","113,890","117,024","107,420"
