U.S. Custom Ports,Coast,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Port Townsend, WA",P,0,0,0,0,3,0,29,0,2,0,1,0,0,0,10,0
"Portland, ME",A,"1,075","1,452","1,861","1,671","1,215","1,513",935,405,6,0,0,343,206,"2,998","5,218",0
"Portland, OR",P,"38,050","46,646","46,696","63,428","70,180","60,096","87,166","106,287","96,844","68,807","68,806","74,134","62,644","72,854","73,889","7,365"
"Portsmouth, NH",A,0,0,0,0,4,0,0,1,5,9,28,16,90,39,2,0
"San Diego, CA",P,10,4,"1,413","43,817","45,692","45,204","48,509","48,137","46,281","47,943","49,931","49,574","51,861","48,438","53,060","57,267"
"San Francisco, CA",P,"23,857","15,749","11,027","7,687","17,635",370,286,24,35,9,19,168,461,93,4,6
"San Juan, PR",PR,"105,835","108,207","117,117","146,677","155,598","165,476","156,277","148,017","155,795","153,130","153,248","156,029","159,610","162,381","151,494","166,137"
"Savannah, GA",A,"382,070","430,806","561,278","595,051","664,969","804,639","869,166","1,079,002","1,088,446","913,237","1,055,072","1,073,115","1,076,005","1,145,521","1,346,024","1,607,783"
"Seattle, WA",P,"588,419","499,584","511,521","485,943","680,780","874,774","793,637","784,981","658,653","622,044","888,103","772,656","726,430","544,964","424,559","474,495"
"Tacoma, WA",P,"391,491","356,385","490,789","594,039","601,187","794,332","735,962","722,378","651,244","457,963","495,600","519,955","649,104","733,072","817,697","829,353"
"Tampa, FL",G,"1,858",812,158,"2,338","7,495","6,222","10,247","18,867","19,600","19,016","23,082","17,581","18,587","19,871","24,051","28,055"
"Vancouver, WA",P,303,736,65,123,"2,484",373,172,316,12,101,569,307,181,779,"1,160","1,836"
"West Palm Beach, FL",A,"25,667","26,648","33,359","34,390","38,050","35,819","32,158","27,214","30,650","26,037","23,510","22,887","26,212","29,171","39,265","29,863"
"Wilmington, DE",A,"97,023","103,260","106,666","166,119","119,614","120,512","130,189","141,731","134,083","129,152","132,496","141,329","160,159","166,823","170,595","164,912"
"Wilmington, NC",A,"41,824","37,077","45,357","43,702","51,738","68,669","79,141","84,734","88,991","96,825","115,006","119,526","111,438","106,492","114,021","124,698"
