U.S. Custom Ports,Coast,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Pensacola, FL",G,0,351,9,12,0,178,43,"5,442","1,711",0,0,576,"2,568",205,365,13
"Pensauken, NJ",A,"1,272","1,356","1,105",735,887,"1,189","4,240","2,646","3,030","1,663","4,551","8,171","5,705","395,438","335,597","483,690"
"Philadelphia, PA",A,"981,106","1,022,039","1,181,151","1,306,143","1,620,061","1,935,488","2,147,806","2,219,165","2,267,900","2,024,517","2,046,387","2,253,745","2,562,574","3,001,081","3,176,714","3,121,107"
"Ponce, PR",PR,"417,763","383,407","275,446","68,393","18,226","1,599",647,"4,557",196,194,54,23,500,348,1,"2,000"
"Port Angeles, WA",P,0,928,0,0,14,0,17,121,0,229,41,394,19,"1,578","2,211",42
"Port Arthur, TX",G,50,45,"2,406",28,"72,646",280,447,185,202,"3,472","436,270","73,469","220,347",936,"1,240",0
"Port Canaveral, FL",A,"3,487","1,031",436,105,"7,538","10,043",816,"1,100","1,162",541,459,"2,004","5,630","1,363",397,725
"Port Everglades, FL",A,"3,229,443","3,064,625","2,781,896","3,104,577","3,682,902","4,478,945","4,940,173","5,300,873","5,238,985","4,284,324","4,662,211","5,011,123","5,234,042","5,792,279","6,279,521","6,238,309"
"Port Hueneme, CA",P,"86,976","79,434","76,079","97,527","105,211","156,801","157,774","149,195","173,715","168,649","214,021","195,200","482,671","491,745","499,057","526,912"
"Port Manatee, FL",G,0,0,0,"4,712","52,432","35,028","46,433","36,583","49,898","148,307","134,219","85,046","103,339","96,370","107,841","219,784"
"Port Townsend, WA",P,0,0,0,0,18,0,173,0,2,159,0,0,0,0,29,346
"Portland, ME",A,"32,860","26,829","26,143","21,614","19,407","32,637","14,310","9,381",13,0,0,"6,442","3,657","33,508","62,667",0
"Portland, OR",P,"2,269,622","2,148,545","1,876,794","2,087,065","2,020,377","1,142,689","1,521,554","1,983,977","1,855,523","1,527,402","1,214,401","1,468,322","1,538,492","1,410,103","1,288,280","163,726"
"Portsmouth, NH",A,0,0,0,0,35,0,0,"1,051",21,95,220,61,668,352,8,0
"San Diego, CA",P,127,50,"18,152","471,439","477,165","459,765","476,567","472,790","468,837","460,398","463,640","459,464","478,577","452,859","498,367","549,083"
"San Francisco, CA",P,"395,366","233,699","154,386","169,196","277,957","4,005","2,257",379,"3,295",93,23,"1,067","8,595","1,048","17,117","1,805"
"San Juan, PR",PR,"1,311,723","1,344,398","1,391,352","1,668,998","1,794,245","1,963,564","1,972,330","1,839,451","1,997,375","2,005,160","2,032,188","1,771,865","1,588,578","1,671,049","1,615,684","1,655,611"
"Savannah, GA",A,"6,354,364","6,962,565","8,323,110","9,361,455","10,907,180","12,580,461","13,440,786","17,438,764","18,064,445","16,685,066","19,031,936","20,025,688","20,155,572","20,911,342","22,578,753","23,711,106"
"Seattle, WA",P,"7,648,595","6,538,387","6,703,367","6,345,854","7,993,876","10,455,344","9,547,162","10,580,546","9,047,470","9,113,852","11,949,778","12,109,317","11,193,427","9,436,622","7,731,157","7,677,055"
"Tacoma, WA",P,"5,062,854","4,806,925","5,994,799","7,416,023","7,634,196","9,083,968","8,573,060","9,361,809","9,483,095","7,428,348","7,007,109","7,460,971","9,258,857","10,899,041","11,656,015","11,179,669"
"Tampa, FL",G,"51,959","34,623","22,657","46,449","95,095","101,578","150,733","242,836","267,957","336,140","262,232","270,127","277,175","271,348","336,640","337,579"
"Vancouver, WA",P,"3,911","6,760",744,744,"32,957","2,882","2,105","2,596",367,"1,753","16,469","7,396","3,391","9,800","16,545","27,401"
"West Palm Beach, FL",A,"1,003,670","924,917","1,128,620","1,100,394","1,227,138","1,199,741","1,142,856","1,071,563","1,051,240","884,945","909,426","855,524","975,096","1,280,854","1,337,542","1,372,871"
"Wilmington, DE",A,"1,076,742","1,119,157","1,179,588","1,653,628","1,261,745","1,305,133","1,397,144","1,516,471","1,545,022","1,354,676","1,341,487","1,418,333","1,587,715","1,698,480","1,775,961","1,821,914"
"Wilmington, NC",A,"572,762","527,846","549,282","546,676","577,880","729,632","930,755","1,191,023","1,171,983","1,558,498","1,695,102","1,881,784","1,681,303","1,929,862","2,073,474","2,002,633"
